TICKET,ITEM,IDPRODUCTO,NOMPRRODUCTO,FECHAVENTA,CANTIDAD,IDTAMAÑO,DESCTAMAÑO,PRECIO,COSTOUNITARIO,DESCTIPO,IDLOCAL,NOMLOCAL,DESCTIPOLOCAL,IDCIUDAD,NOMCIUDAD,TOTALVENTA,TOTALCOSTO,AÑO,MES
20403,1,C001,COMFORT VERONA,05/04/2020,1,21N,21 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,04-ABR
21862,1,C001,COMFORT VERONA,20/04/2020,1,22N,22 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,04-ABR
22970,1,C001,COMFORT VERONA,03/05/2020,1,29N,29 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2020,05-MAY
23521,1,C001,COMFORT VERONA,08/05/2020,1,21N,21 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2020,05-MAY
24124,1,C001,COMFORT VERONA,13/05/2020,1,28N,28 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,05-MAY
24140,1,C001,COMFORT VERONA,13/05/2020,1,29M,29 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2020,05-MAY
24705,1,C001,COMFORT VERONA,19/05/2020,1,21N,21 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,05-MAY
25154,1,C001,COMFORT VERONA,25/05/2020,1,18N,18 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2020,05-MAY
26338,1,C001,COMFORT VERONA,03/06/2020,1,27M,27 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2020,06-JUN
26519,1,C001,COMFORT VERONA,05/06/2020,1,21N,21 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2020,06-JUN
26579,1,C001,COMFORT VERONA,05/06/2020,1,26N,26 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,06-JUN
27546,2,C001,COMFORT VERONA,15/06/2020,1,25N,25 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,06-JUN
27922,1,C001,COMFORT VERONA,17/06/2020,1,28N,28 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,06-JUN
28427,1,C001,COMFORT VERONA,22/06/2020,1,27M,27 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,06-JUN
28434,1,C001,COMFORT VERONA,22/06/2020,1,27N,27 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,06-JUN
30251,1,C001,COMFORT VERONA,12/07/2020,1,26N,26 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2020,07-JUL
30714,1,C001,COMFORT VERONA,16/07/2020,1,26N,26 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2020,07-JUL
36208,1,C001,COMFORT VERONA,02/09/2020,1,29N,29 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2020,09-SEP
36256,1,C001,COMFORT VERONA,02/09/2020,1,18M,18 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,09-SEP
36596,1,C001,COMFORT VERONA,06/09/2020,1,20N,20 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,09-SEP
39171,1,C001,COMFORT VERONA,26/09/2020,1,20N,20 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,09-SEP
40059,1,C001,COMFORT VERONA,06/10/2020,1,26M,26 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,10-OCT
40795,1,C001,COMFORT VERONA,12/10/2020,1,21N,21 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,10-OCT
43498,1,C001,COMFORT VERONA,09/11/2020,1,23N,23 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2020,11-NOV
43933,1,C001,COMFORT VERONA,13/11/2020,1,22N,22 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2020,11-NOV
44791,1,C001,COMFORT VERONA,19/11/2020,1,29M,29 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2020,11-NOV
47237,1,C001,COMFORT VERONA,10/12/2020,1,30M,30 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2020,12-DIC
50615,1,C001,COMFORT VERONA,06/01/2021,1,30M,30 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,01-ENE
50746,2,C001,COMFORT VERONA,07/01/2021,1,21N,21 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,01-ENE
52017,1,C001,COMFORT VERONA,19/01/2021,1,22M,22 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2021,01-ENE
52330,1,C001,COMFORT VERONA,21/01/2021,1,26N,26 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2021,01-ENE
52397,1,C001,COMFORT VERONA,22/01/2021,1,23N,23 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,01-ENE
52904,1,C001,COMFORT VERONA,26/01/2021,1,29M,29 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2021,01-ENE
52990,1,C001,COMFORT VERONA,27/01/2021,1,28M,28 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,01-ENE
54607,1,C001,COMFORT VERONA,08/02/2021,1,22M,22 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2021,02-FEB
55765,1,C001,COMFORT VERONA,18/02/2021,1,19M,19 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2021,02-FEB
55975,1,C001,COMFORT VERONA,19/02/2021,1,29N,29 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,02-FEB
57973,1,C001,COMFORT VERONA,07/03/2021,1,21M,21 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,03-MAR
58329,1,C001,COMFORT VERONA,09/03/2021,1,26N,26 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,03-MAR
59164,1,C001,COMFORT VERONA,17/03/2021,1,24M,24 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,03-MAR
60331,1,C001,COMFORT VERONA,28/03/2021,1,29M,29 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,03-MAR
60858,1,C001,COMFORT VERONA,01/04/2021,1,30M,30 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2021,04-ABR
61381,1,C001,COMFORT VERONA,06/04/2021,1,29M,29 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2021,04-ABR
61645,1,C001,COMFORT VERONA,08/04/2021,1,23M,23 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,04-ABR
62005,1,C001,COMFORT VERONA,12/04/2021,1,30N,30 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2021,04-ABR
62713,1,C001,COMFORT VERONA,17/04/2021,1,19M,19 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,04-ABR
63488,1,C001,COMFORT VERONA,22/04/2021,1,29N,29 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2021,04-ABR
64337,1,C001,COMFORT VERONA,30/04/2021,1,25M,25 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,04-ABR
64769,1,C001,COMFORT VERONA,04/05/2021,1,30M,30 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2021,05-MAY
65886,1,C001,COMFORT VERONA,15/05/2021,1,23M,23 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,05-MAY
67358,1,C001,COMFORT VERONA,28/05/2021,1,25M,25 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2021,05-MAY
67475,1,C001,COMFORT VERONA,28/05/2021,1,21N,21 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,05-MAY
67641,1,C001,COMFORT VERONA,30/05/2021,1,25N,25 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,05-MAY
69323,1,C001,COMFORT VERONA,13/06/2021,1,26N,26 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2021,06-JUN
69513,1,C001,COMFORT VERONA,14/06/2021,1,28N,28 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2021,06-JUN
69543,1,C001,COMFORT VERONA,14/06/2021,1,21N,21 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,06-JUN
69775,1,C001,COMFORT VERONA,17/06/2021,1,27M,27 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,06-JUN
70637,1,C001,COMFORT VERONA,25/06/2021,1,22M,22 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,06-JUN
70703,1,C001,COMFORT VERONA,26/06/2021,1,30N,30 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2021,06-JUN
71565,1,C001,COMFORT VERONA,04/07/2021,1,21M,21 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2021,07-JUL
72414,1,C001,COMFORT VERONA,10/07/2021,1,20M,20 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,07-JUL
73309,1,C001,COMFORT VERONA,16/07/2021,1,18M,18 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2021,07-JUL
73332,1,C001,COMFORT VERONA,16/07/2021,1,24M,24 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2021,07-JUL
74744,1,C001,COMFORT VERONA,27/07/2021,1,23N,23 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2021,07-JUL
75222,1,C001,COMFORT VERONA,30/07/2021,1,29M,29 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,07-JUL
75672,1,C001,COMFORT VERONA,04/08/2021,1,26M,26 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,08-AGO
76624,1,C001,COMFORT VERONA,11/08/2021,1,22M,22 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,08-AGO
76754,1,C001,COMFORT VERONA,13/08/2021,1,21M,21 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2021,08-AGO
77107,1,C001,COMFORT VERONA,15/08/2021,1,19M,19 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,08-AGO
77949,1,C001,COMFORT VERONA,22/08/2021,1,20N,20 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2021,08-AGO
78200,1,C001,COMFORT VERONA,24/08/2021,1,25N,25 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,08-AGO
78502,1,C001,COMFORT VERONA,27/08/2021,1,28N,28 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,08-AGO
78778,1,C001,COMFORT VERONA,29/08/2021,1,25N,25 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,08-AGO
79726,1,C001,COMFORT VERONA,05/09/2021,1,22N,22 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,09-SEP
79812,1,C001,COMFORT VERONA,06/09/2021,1,25M,25 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2021,09-SEP
79970,1,C001,COMFORT VERONA,07/09/2021,1,23M,23 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,09-SEP
80173,1,C001,COMFORT VERONA,09/09/2021,1,19M,19 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2021,09-SEP
81273,1,C001,COMFORT VERONA,20/09/2021,1,29N,29 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,09-SEP
82705,1,C001,COMFORT VERONA,02/10/2021,1,23N,23 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2021,10-OCT
83987,1,C001,COMFORT VERONA,14/10/2021,1,21M,21 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,10-OCT
85210,1,C001,COMFORT VERONA,29/10/2021,1,18M,18 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2021,10-OCT
88014,1,C001,COMFORT VERONA,26/11/2021,1,21M,21 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,11-NOV
88479,1,C001,COMFORT VERONA,29/11/2021,2,18N,18 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO," $2,622.00 ", $786.00 ,2021,11-NOV
88584,1,C001,COMFORT VERONA,30/11/2021,1,20N,20 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,11-NOV
89331,1,C001,COMFORT VERONA,07/12/2021,1,23N,23 NORMAL," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2021,12-DIC
89827,1,C001,COMFORT VERONA,12/12/2021,1,22M,22 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO," $1,311.00 ", $393.00 ,2021,12-DIC
98163,1,C001,COMFORT VERONA,20/12/2021,1,22M,22 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA," $1,311.00 ", $393.00 ,2021,12-DIC
91300,1,C001,COMFORT VERONA,26/12/2021,1,29M,29 Y MEDIO," $1,311.00 ", $393.00 ,CABALLERO,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA," $1,311.00 ", $393.00 ,2021,12-DIC
10893,1,C001,COMFORT VERONA,09/01/2020,1,21N,21 NORMAL," $1,296.00 ", $393.00 ,CABALLERO,3,ESFERA,PREMIUM,MTY,MONTERREY," $1,296.00 ", $393.00 ,2020,01-ENE
12038,1,C001,COMFORT VERONA,22/01/2020,1,19N,19 NORMAL," $1,296.00 ", $393.00 ,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,296.00 ", $393.00 ,2020,01-ENE
12354,1,C001,COMFORT VERONA,26/01/2020,1,22N,22 NORMAL," $1,296.00 ", $393.00 ,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,296.00 ", $393.00 ,2020,01-ENE
12401,1,C001,COMFORT VERONA,26/01/2020,2,30M,30 Y MEDIO," $1,296.00 ", $393.00 ,CABALLERO,3,ESFERA,PREMIUM,MTY,MONTERREY," $2,592.00 ", $786.00 ,2020,01-ENE
14263,1,C001,COMFORT VERONA,13/02/2020,1,28N,28 NORMAL," $1,296.00 ", $393.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,296.00 ", $393.00 ,2020,02-FEB
14822,1,C001,COMFORT VERONA,17/02/2020,1,30M,30 Y MEDIO," $1,296.00 ", $393.00 ,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA," $1,296.00 ", $393.00 ,2020,02-FEB
15362,1,C001,COMFORT VERONA,23/02/2020,1,21M,21 Y MEDIO," $1,296.00 ", $393.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,296.00 ", $393.00 ,2020,02-FEB
15705,1,C001,COMFORT VERONA,25/02/2020,1,26M,26 Y MEDIO," $1,296.00 ", $393.00 ,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,296.00 ", $393.00 ,2020,02-FEB
15718,1,C001,COMFORT VERONA,25/02/2020,1,30N,30 NORMAL," $1,296.00 ", $393.00 ,CABALLERO,13,ANDARES,PREMIUM,GDL,GUADALAJARA," $1,296.00 ", $393.00 ,2020,02-FEB
15898,1,C001,COMFORT VERONA,27/02/2020,1,27N,27 NORMAL," $1,296.00 ", $393.00 ,CABALLERO,3,ESFERA,PREMIUM,MTY,MONTERREY," $1,296.00 ", $393.00 ,2020,02-FEB
16996,1,C001,COMFORT VERONA,06/03/2020,1,29M,29 Y MEDIO," $1,296.00 ", $393.00 ,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,296.00 ", $393.00 ,2020,03-MAR
18994,1,C001,COMFORT VERONA,22/03/2020,1,23N,23 NORMAL," $1,296.00 ", $393.00 ,CABALLERO,1,NUEVO SUR,PREMIUM,MTY,MONTERREY," $1,296.00 ", $393.00 ,2020,03-MAR
19370,1,C001,COMFORT VERONA,25/03/2020,1,25N,25 NORMAL," $1,296.00 ", $393.00 ,CABALLERO,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,296.00 ", $393.00 ,2020,03-MAR
19412,1,C001,COMFORT VERONA,25/03/2020,1,22M,22 Y MEDIO," $1,296.00 ", $393.00 ,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,296.00 ", $393.00 ,2020,03-MAR
19523,1,C001,COMFORT VERONA,27/03/2020,1,29N,29 NORMAL," $1,296.00 ", $393.00 ,CABALLERO,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO," $1,296.00 ", $393.00 ,2020,03-MAR
19614,1,C001,COMFORT VERONA,28/03/2020,1,28M,28 Y MEDIO," $1,296.00 ", $393.00 ,CABALLERO,18,LORETO,PREMIUM,PUE,PUEBLA," $1,296.00 ", $393.00 ,2020,03-MAR
