ticket,fecha_venta,id_local,local,tipo_local,id_ciudad,ciudad,estado,pais,venta_ticket,item,id_estilo,id_medida,cantidad,estilo,medida,precio_lista,precio_venta,venta_item,costo_unitario,costo_venta,utilidad,id_tipo_calzado,tipo_calzado
10047,02/01/2020,10,IZCALI,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1865.00,1,D005,25M,1,SERENA STORM,25 Y MEDIO,1865.00,1865.00,1865.00,459.00,459.00,1406.00, D ,DAMA
10068,02/01/2020,3,ESFERA,PREMIUM,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1357.00,1,D003,19N,1,MERLE POINT,19 NORMAL,1357.00,1357.00,1357.00,442.00,442.00,915.00, D ,DAMA
10106,02/01/2020,14,PABELLON,ESTÁNDAR,GDL,GUADALAJARA,JALISCO,MÉXICO,4192.00,1,C004,26M,4,MIRIDIA,26 Y MEDIO,1048.00,1048.00,4192.00,392.00,1568.00,2624.00, C ,CABALLERO
10108,02/01/2020,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1844.00,1,C002,20N,1,CONFORT MILAN,20 NORMAL,1844.00,1844.00,1844.00,420.00,420.00,1424.00, C ,CABALLERO
10111,03/01/2020,5,COYOACAN,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,4104.00,1,U002,20N,4,MINIMAL ECHO,20 NORMAL,1069.00,1026.00,4104.00,460.00,1840.00,2264.00, U ,UNISEX
10174,03/01/2020,5,COYOACAN,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1069.00,1,U002,23N,1,MINIMAL ECHO,23 NORMAL,1069.00,1069.00,1069.00,460.00,460.00,609.00, U ,UNISEX
10178,03/01/2020,5,COYOACAN,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1681.00,1,C003,19M,1,CONFORT NEW YORK,19 Y MEDIO,1681.00,1681.00,1681.00,396.00,396.00,1285.00, C ,CABALLERO
10208,03/01/2020,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1128.00,1,D007,22N,1,REFLEXION EDGE,22 NORMAL,1128.00,1128.00,1128.00,387.00,387.00,741.00, D ,DAMA
10243,03/01/2020,4,PLAZA FIESTA,ESTÁNDAR,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1048.00,1,C004,29M,1,MIRIDIA,29 Y MEDIO,1048.00,1048.00,1048.00,392.00,392.00,656.00, C ,CABALLERO
10256,03/01/2020,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1272.00,1,D001,23N,1,SPLEND MARNA,23 NORMAL,1272.00,1272.00,1272.00,397.00,397.00,875.00, D ,DAMA
10258,03/01/2020,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,JALISCO,MÉXICO,947.00,1,D007,18M,1,REFLEXION EDGE,18 Y MEDIO,947.00,947.00,947.00,387.00,387.00,560.00, D ,DAMA
10262,03/01/2020,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,801.00,1,U001,28M,1,RELAX UNIVERSE,28 Y MEDIO,801.00,801.00,801.00,424.00,424.00,377.00, U ,UNISEX
10267,04/01/2020,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,PUEBLA,MÉXICO,1585.00,1,D005,20N,1,SERENA STORM,20 NORMAL,1585.00,1585.00,1585.00,459.00,459.00,1126.00, D ,DAMA
10307,04/01/2020,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,JALISCO,MÉXICO,2825.00,2,D005,24N,1,SERENA STORM,24 NORMAL,1585.00,1585.00,1585.00,459.00,459.00,1126.00, D ,DAMA
10307,04/01/2020,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,JALISCO,MÉXICO,2825.00,1,D006,21N,1,COLORFUL SPRING,21 NORMAL,1240.00,1240.00,1240.00,380.00,380.00,860.00, D ,DAMA
10319,04/01/2020,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1128.00,1,D007,20N,1,REFLEXION EDGE,20 NORMAL,1128.00,1128.00,1128.00,387.00,387.00,741.00, D ,DAMA
10325,04/01/2020,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,900.00,1,U001,18N,1,RELAX UNIVERSE,18 NORMAL,900.00,900.00,900.00,424.00,424.00,476.00, U ,UNISEX
10332,04/01/2020,18,LORETO,PREMIUM,PUE,PUEBLA,PUEBLA,MÉXICO,1830.00,1,D004,25M,1,PANAMA,25 Y MEDIO,1830.00,1830.00,1830.00,421.00,421.00,1409.00, D ,DAMA
10358,04/01/2020,7,UNIVERSIDAD,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1151.00,1,D003,21M,1,MERLE POINT,21 Y MEDIO,1212.00,1151.00,1151.00,442.00,442.00,709.00, D ,DAMA
10371,04/01/2020,13,ANDARES,PREMIUM,GDL,GUADALAJARA,JALISCO,MÉXICO,1799.00,1,S001,21M,1,RAPTOR,21 Y MEDIO,1799.00,1799.00,1799.00,434.00,434.00,1365.00, S ,DEPORTIVO
10378,04/01/2020,13,ANDARES,PREMIUM,GDL,GUADALAJARA,JALISCO,MÉXICO,1361.00,1,D001,21N,1,SPLEND MARNA,21 NORMAL,1361.00,1361.00,1361.00,397.00,397.00,964.00, D ,DAMA
10379,04/01/2020,1,NUEVO SUR,PREMIUM,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1866.00,1,C003,20M,1,CONFORT NEW YORK,20 Y MEDIO,1866.00,1866.00,1866.00,396.00,396.00,1470.00, C ,CABALLERO
10384,04/01/2020,5,COYOACAN,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,900.00,1,U001,30N,1,RELAX UNIVERSE,30 NORMAL,900.00,900.00,900.00,424.00,424.00,476.00, U ,UNISEX
10389,04/01/2020,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,2030.00,1,S002,26N,1,CITUAN,26 NORMAL,2030.00,2030.00,2030.00,394.00,394.00,1636.00, S ,DEPORTIVO
10393,05/01/2020,14,PABELLON,ESTÁNDAR,GDL,GUADALAJARA,JALISCO,MÉXICO,1865.00,1,D005,25N,1,SERENA STORM,25 NORMAL,1865.00,1865.00,1865.00,459.00,459.00,1406.00, D ,DAMA
10416,05/01/2020,4,PLAZA FIESTA,ESTÁNDAR,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1844.00,1,C002,22M,1,CONFORT MILAN,22 Y MEDIO,1844.00,1844.00,1844.00,420.00,420.00,1424.00, C ,CABALLERO
10419,05/01/2020,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,JALISCO,MÉXICO,1660.00,1,C002,25M,1,CONFORT MILAN,25 Y MEDIO,1660.00,1660.00,1660.00,420.00,420.00,1240.00, C ,CABALLERO
10434,05/01/2020,18,LORETO,PREMIUM,PUE,PUEBLA,PUEBLA,MÉXICO,1440.00,1,D006,26N,1,COLORFUL SPRING,26 NORMAL,1440.00,1440.00,1440.00,380.00,380.00,1060.00, D ,DAMA
10455,05/01/2020,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,2407.00,2,C001,27M,1,COMFORT VERONA,27 Y MEDIO,1507.00,1507.00,1507.00,393.00,393.00,1114.00, C ,CABALLERO
10455,05/01/2020,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,2407.00,1,U001,22N,1,RELAX UNIVERSE,22 NORMAL,900.00,900.00,900.00,424.00,424.00,476.00, U ,UNISEX
10477,05/01/2020,2,CITADEL,ESTÁNDAR,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1212.00,1,D003,24M,1,MERLE POINT,24 Y MEDIO,1212.00,1212.00,1212.00,442.00,442.00,770.00, D ,DAMA
10504,06/01/2020,5,COYOACAN,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1621.00,1,S001,19N,1,RAPTOR,19 NORMAL,1621.00,1621.00,1621.00,434.00,434.00,1187.00, S ,DEPORTIVO
10519,06/01/2020,3,ESFERA,PREMIUM,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1361.00,1,D001,18N,1,SPLEND MARNA,18 NORMAL,1361.00,1361.00,1361.00,397.00,397.00,964.00, D ,DAMA
10540,06/01/2020,19,ANGELOPOLIS,ESTÁNDAR,PUE,PUEBLA,PUEBLA,MÉXICO,1738.00,1,S003,28M,1,ULTRA-ALIVE,28 Y MEDIO,1738.00,1738.00,1738.00,388.00,388.00,1350.00, S ,DEPORTIVO
10551,06/01/2020,15,CENTRO MAGNO,ESTÁNDAR,GDL,GUADALAJARA,JALISCO,MÉXICO,1272.00,1,D001,25N,1,SPLEND MARNA,25 NORMAL,1272.00,1272.00,1272.00,397.00,397.00,875.00, D ,DAMA
10564,06/01/2020,10,IZCALI,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1865.00,1,D005,26M,1,SERENA STORM,26 Y MEDIO,1865.00,1865.00,1865.00,459.00,459.00,1406.00, D ,DAMA
10569,07/01/2020,2,CITADEL,ESTÁNDAR,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1738.00,1,S003,21N,1,ULTRA-ALIVE,21 NORMAL,1738.00,1738.00,1738.00,388.00,388.00,1350.00, S ,DEPORTIVO
10620,07/01/2020,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,JALISCO,MÉXICO,1448.00,1,D004,26M,1,PANAMA,26 Y MEDIO,1448.00,1448.00,1448.00,421.00,421.00,1027.00, D ,DAMA
10628,07/01/2020,18,LORETO,PREMIUM,PUE,PUEBLA,PUEBLA,MÉXICO,6478.00,2,C003,20M,1,CONFORT NEW YORK,20 Y MEDIO,1866.00,1866.00,1866.00,396.00,396.00,1470.00, C ,CABALLERO
10628,07/01/2020,18,LORETO,PREMIUM,PUE,PUEBLA,PUEBLA,MÉXICO,6478.00,1,C004,20M,4,MIRIDIA,20 Y MEDIO,1153.00,1153.00,4612.00,392.00,1568.00,3044.00, C ,CABALLERO
10633,07/01/2020,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1219.00,1,C001,22M,1,COMFORT VERONA,22 Y MEDIO,1311.00,1219.00,1219.00,393.00,393.00,826.00, C ,CABALLERO
10646,07/01/2020,18,LORETO,PREMIUM,PUE,PUEBLA,PUEBLA,MÉXICO,1830.00,1,D004,23M,1,PANAMA,23 Y MEDIO,1830.00,1830.00,1830.00,421.00,421.00,1409.00, D ,DAMA
10647,08/01/2020,4,PLAZA FIESTA,ESTÁNDAR,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1738.00,1,S003,19M,1,ULTRA-ALIVE,19 Y MEDIO,1738.00,1738.00,1738.00,388.00,388.00,1350.00, S ,DEPORTIVO
10649,08/01/2020,13,ANDARES,PREMIUM,GDL,GUADALAJARA,JALISCO,MÉXICO,1827.00,1,S002,28M,1,CITUAN,28 Y MEDIO,2030.00,1827.00,1827.00,394.00,394.00,1433.00, S ,DEPORTIVO
10657,08/01/2020,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1862.00,1,S002,20M,1,CITUAN,20 Y MEDIO,1862.00,1862.00,1862.00,394.00,394.00,1468.00, S ,DEPORTIVO
10665,08/01/2020,1,NUEVO SUR,PREMIUM,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1999.00,1,S003,26N,1,ULTRA-ALIVE,26 NORMAL,1999.00,1999.00,1999.00,388.00,388.00,1611.00, S ,DEPORTIVO
10676,08/01/2020,7,UNIVERSIDAD,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1459.00,1,D002,26N,1,TANGERINE,26 NORMAL,1459.00,1459.00,1459.00,386.00,386.00,1073.00, D ,DAMA
10685,08/01/2020,7,UNIVERSIDAD,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1459.00,1,D002,24N,1,TANGERINE,24 NORMAL,1459.00,1459.00,1459.00,386.00,386.00,1073.00, D ,DAMA
10746,08/01/2020,18,LORETO,PREMIUM,PUE,PUEBLA,PUEBLA,MÉXICO,2030.00,1,S002,26M,1,CITUAN,26 Y MEDIO,2030.00,2030.00,2030.00,394.00,394.00,1636.00, S ,DEPORTIVO
10755,08/01/2020,10,IZCALI,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,2700.00,1,U001,19M,3,RELAX UNIVERSE,19 Y MEDIO,900.00,900.00,2700.00,424.00,1272.00,1428.00, U ,UNISEX
10776,08/01/2020,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1830.00,1,D004,21M,1,PANAMA,21 Y MEDIO,1830.00,1830.00,1830.00,421.00,421.00,1409.00, D ,DAMA
10777,08/01/2020,5,COYOACAN,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1333.00,1,D006,22N,1,COLORFUL SPRING,22 NORMAL,1333.00,1333.00,1333.00,380.00,380.00,953.00, D ,DAMA
10784,08/01/2020,4,PLAZA FIESTA,ESTÁNDAR,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1048.00,1,C004,22M,1,MIRIDIA,22 Y MEDIO,1048.00,1048.00,1048.00,392.00,392.00,656.00, C ,CABALLERO
10793,08/01/2020,11,ARAGON,POPULAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1583.00,1,S002,25N,1,CITUAN,25 NORMAL,1583.00,1583.00,1583.00,394.00,394.00,1189.00, S ,DEPORTIVO
10800,08/01/2020,13,ANDARES,PREMIUM,GDL,GUADALAJARA,JALISCO,MÉXICO,1440.00,1,D006,25N,1,COLORFUL SPRING,25 NORMAL,1440.00,1440.00,1440.00,380.00,380.00,1060.00, D ,DAMA
10812,09/01/2020,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,JALISCO,MÉXICO,1660.00,1,C002,25N,1,CONFORT MILAN,25 NORMAL,1660.00,1660.00,1660.00,420.00,420.00,1240.00, C ,CABALLERO
10851,09/01/2020,13,ANDARES,PREMIUM,GDL,GUADALAJARA,JALISCO,MÉXICO,3598.00,1,S001,26M,1,RAPTOR,26 Y MEDIO,1799.00,1799.00,1799.00,434.00,434.00,1365.00, S ,DEPORTIVO
10851,09/01/2020,13,ANDARES,PREMIUM,GDL,GUADALAJARA,JALISCO,MÉXICO,3598.00,2,S001,29M,1,RAPTOR,29 Y MEDIO,1799.00,1799.00,1799.00,434.00,434.00,1365.00, S ,DEPORTIVO
10880,09/01/2020,4,PLAZA FIESTA,ESTÁNDAR,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1865.00,1,D005,22M,1,SERENA STORM,22 Y MEDIO,1865.00,1865.00,1865.00,459.00,459.00,1406.00, D ,DAMA
10885,09/01/2020,6,PERISUR,PREMIUM,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1839.00,1,S003,19M,1,ULTRA-ALIVE,19 Y MEDIO,1999.00,1839.00,1839.00,388.00,388.00,1451.00, S ,DEPORTIVO
10893,09/01/2020,3,ESFERA,PREMIUM,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1296.00,1,C001,21N,1,COMFORT VERONA,21 NORMAL,1296.00,1296.00,1296.00,393.00,393.00,903.00, C ,CABALLERO
10903,09/01/2020,10,IZCALI,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,3600.00,1,U001,25N,4,RELAX UNIVERSE,25 NORMAL,900.00,900.00,3600.00,424.00,1696.00,1904.00, U ,UNISEX
10910,09/01/2020,13,ANDARES,PREMIUM,GDL,GUADALAJARA,JALISCO,MÉXICO,1799.00,1,S001,30M,1,RAPTOR,30 Y MEDIO,1799.00,1799.00,1799.00,434.00,434.00,1365.00, S ,DEPORTIVO
10921,09/01/2020,10,IZCALI,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1591.00,1,D004,20M,1,PANAMA,20 Y MEDIO,1591.00,1591.00,1591.00,421.00,421.00,1170.00, D ,DAMA
10936,10/01/2020,14,PABELLON,ESTÁNDAR,GDL,GUADALAJARA,JALISCO,MÉXICO,1591.00,1,D004,25M,1,PANAMA,25 Y MEDIO,1591.00,1591.00,1591.00,421.00,421.00,1170.00, D ,DAMA
10945,10/01/2020,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,PUEBLA,MÉXICO,1585.00,1,D005,23M,1,SERENA STORM,23 Y MEDIO,1585.00,1585.00,1585.00,459.00,459.00,1126.00, D ,DAMA
10956,10/01/2020,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1738.00,1,S003,18N,1,ULTRA-ALIVE,18 NORMAL,1738.00,1738.00,1738.00,388.00,388.00,1350.00, S ,DEPORTIVO
10966,10/01/2020,4,PLAZA FIESTA,ESTÁNDAR,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1069.00,1,U002,24N,1,MINIMAL ECHO,24 NORMAL,1069.00,1069.00,1069.00,460.00,460.00,609.00, U ,UNISEX
10971,10/01/2020,12,ERMITA,POPULAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,947.00,1,D007,24M,1,REFLEXION EDGE,24 Y MEDIO,947.00,947.00,947.00,387.00,387.00,560.00, D ,DAMA
10990,11/01/2020,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,3010.00,1,D001,23M,1,SPLEND MARNA,23 Y MEDIO,1272.00,1272.00,1272.00,397.00,397.00,875.00, D ,DAMA
10990,11/01/2020,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,3010.00,2,S003,26N,1,ULTRA-ALIVE,26 NORMAL,1738.00,1738.00,1738.00,388.00,388.00,1350.00, S ,DEPORTIVO
11012,11/01/2020,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1844.00,1,C002,20M,1,CONFORT MILAN,20 Y MEDIO,1844.00,1844.00,1844.00,420.00,420.00,1424.00, C ,CABALLERO
11016,11/01/2020,15,CENTRO MAGNO,ESTÁNDAR,GDL,GUADALAJARA,JALISCO,MÉXICO,1333.00,1,D006,24M,1,COLORFUL SPRING,24 Y MEDIO,1333.00,1333.00,1333.00,380.00,380.00,953.00, D ,DAMA
11031,11/01/2020,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,PUEBLA,MÉXICO,1311.00,1,C001,22M,1,COMFORT VERONA,22 Y MEDIO,1311.00,1311.00,1311.00,393.00,393.00,918.00, C ,CABALLERO
11032,11/01/2020,18,LORETO,PREMIUM,PUE,PUEBLA,PUEBLA,MÉXICO,1128.00,1,D007,21N,1,REFLEXION EDGE,21 NORMAL,1128.00,1128.00,1128.00,387.00,387.00,741.00, D ,DAMA
11068,11/01/2020,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1862.00,1,S002,24N,1,CITUAN,24 NORMAL,1862.00,1862.00,1862.00,394.00,394.00,1468.00, S ,DEPORTIVO
11076,12/01/2020,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,PUEBLA,MÉXICO,1524.00,1,S001,20M,1,RAPTOR,20 Y MEDIO,1524.00,1524.00,1524.00,434.00,434.00,1090.00, S ,DEPORTIVO
11086,12/01/2020,18,LORETO,PREMIUM,PUE,PUEBLA,PUEBLA,MÉXICO,1830.00,1,D004,25M,1,PANAMA,25 Y MEDIO,1830.00,1830.00,1830.00,421.00,421.00,1409.00, D ,DAMA
11092,12/01/2020,7,UNIVERSIDAD,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1048.00,1,C004,21N,1,MIRIDIA,21 NORMAL,1048.00,1048.00,1048.00,392.00,392.00,656.00, C ,CABALLERO
11101,12/01/2020,18,LORETO,PREMIUM,PUE,PUEBLA,PUEBLA,MÉXICO,1144.00,1,U002,24M,1,MINIMAL ECHO,24 Y MEDIO,1144.00,1144.00,1144.00,460.00,460.00,684.00, U ,UNISEX
11129,12/01/2020,16,TLAQUEPAQUE,POPULAR,GDL,GUADALAJARA,JALISCO,MÉXICO,1311.00,1,C001,22M,1,COMFORT VERONA,22 Y MEDIO,1311.00,1311.00,1311.00,393.00,393.00,918.00, C ,CABALLERO
11142,12/01/2020,4,PLAZA FIESTA,ESTÁNDAR,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1621.00,1,S001,26M,1,RAPTOR,26 Y MEDIO,1621.00,1621.00,1621.00,434.00,434.00,1187.00, S ,DEPORTIVO
11152,13/01/2020,17,CRUZ DEL SUR,POPULAR,PUE,PUEBLA,PUEBLA,MÉXICO,4216.00,1,D003,25N,4,MERLE POINT,25 NORMAL,1054.00,1054.00,4216.00,442.00,1768.00,2448.00, D ,DAMA
11186,13/01/2020,7,UNIVERSIDAD,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1591.00,1,D004,21M,1,PANAMA,21 Y MEDIO,1591.00,1591.00,1591.00,421.00,421.00,1170.00, D ,DAMA
11193,13/01/2020,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1357.00,1,D003,24M,1,MERLE POINT,24 Y MEDIO,1357.00,1357.00,1357.00,442.00,442.00,915.00, D ,DAMA
11195,13/01/2020,4,PLAZA FIESTA,ESTÁNDAR,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1507.00,1,C001,25N,1,COMFORT VERONA,25 NORMAL,1507.00,1507.00,1507.00,393.00,393.00,1114.00, C ,CABALLERO
11200,13/01/2020,2,CITADEL,ESTÁNDAR,MTY,MONTERREY,NUEVO LEÓN,MÉXICO,1459.00,1,D002,22M,1,TANGERINE,22 Y MEDIO,1459.00,1459.00,1459.00,386.00,386.00,1073.00, D ,DAMA
11208,13/01/2020,19,ANGELOPOLIS,ESTÁNDAR,PUE,PUEBLA,PUEBLA,MÉXICO,1844.00,1,C002,30N,1,CONFORT MILAN,30 NORMAL,1844.00,1844.00,1844.00,420.00,420.00,1424.00, C ,CABALLERO
11245,13/01/2020,8,BUENAVISTA,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1048.00,1,C004,18N,1,MIRIDIA,18 NORMAL,1048.00,1048.00,1048.00,392.00,392.00,656.00, C ,CABALLERO
11247,13/01/2020,10,IZCALI,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1507.00,1,C001,28M,1,COMFORT VERONA,28 Y MEDIO,1507.00,1507.00,1507.00,393.00,393.00,1114.00, C ,CABALLERO
11263,13/01/2020,9,PEDREGAL,PREMIUM,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1026.00,1,U001,20M,1,RELAX UNIVERSE,20 Y MEDIO,1026.00,1026.00,1026.00,424.00,424.00,602.00, U ,UNISEX
11268,13/01/2020,5,COYOACAN,ESTÁNDAR,CMX,CIUDAD DE MÉXICO,CIUDAD DE MÉXICO,MÉXICO,1048.00,1,C004,25N,1,MIRIDIA,25 NORMAL,1048.00,1048.00,1048.00,392.00,392.00,656.00, C ,CABALLERO
11278,14/01/2020,19,ANGELOPOLIS,ESTÁNDAR,PUE,PUEBLA,PUEBLA,MÉXICO,4819.00,3,D005,25N,1,SERENA STORM,25 NORMAL,1865.00,1865.00,1865.00,459.00,459.00,1406.00, D ,DAMA
11278,14/01/2020,19,ANGELOPOLIS,ESTÁNDAR,PUE,PUEBLA,PUEBLA,MÉXICO,4819.00,2,D006,18N,1,COLORFUL SPRING,18 NORMAL,1333.00,1333.00,1333.00,380.00,380.00,953.00, D ,DAMA
